"filename", "language", "JSON", "HTML", "Markdown", "JavaScript", "CSS", "JavaScript JSX", "XML", "comment", "blank", "total"
"c:\Users\fadib\Desktop\razane-website\.eslintrc.cjs", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 1, 23
"c:\Users\fadib\Desktop\razane-website\README.md", "Markdown", 0, 0, 5, 0, 0, 0, 0, 0, 4, 9
"c:\Users\fadib\Desktop\razane-website\index.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\fadib\Desktop\razane-website\package-lock.json", "JSON", 5448, 0, 0, 0, 0, 0, 0, 0, 1, 5449
"c:\Users\fadib\Desktop\razane-website\package.json", "JSON", 32, 0, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Users\fadib\Desktop\razane-website\postcss.config.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\fadib\Desktop\razane-website\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\fadib\Desktop\razane-website\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 25, 0, 2, 3, 30
"c:\Users\fadib\Desktop\razane-website\src\assets\benefits\card-1.svg", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\Users\fadib\Desktop\razane-website\src\assets\benefits\card-2.svg", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\Users\fadib\Desktop\razane-website\src\assets\benefits\card-3.svg", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\Users\fadib\Desktop\razane-website\src\assets\benefits\card-4.svg", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\Users\fadib\Desktop\razane-website\src\assets\benefits\card-5.svg", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\Users\fadib\Desktop\razane-website\src\assets\benefits\card-6.svg", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\Users\fadib\Desktop\razane-website\src\assets\benefits\icon-1.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\fadib\Desktop\razane-website\src\assets\benefits\icon-2.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\fadib\Desktop\razane-website\src\assets\benefits\icon-3.svg", "XML", 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\fadib\Desktop\razane-website\src\assets\benefits\icon-4.svg", "XML", 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\fadib\Desktop\razane-website\src\assets\brainwave-symbol-white.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\fadib\Desktop\razane-website\src\assets\brainwave-symbol.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\fadib\Desktop\razane-website\src\assets\brainwave.svg", "XML", 0, 0, 0, 0, 0, 0, 67, 0, 1, 68
"c:\Users\fadib\Desktop\razane-website\src\assets\check-02.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\fadib\Desktop\razane-website\src\assets\check.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
